GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
"1972, 2253",Lycium,australe,14-543,,Levin and Miller 14-543,9/14/2014,Australia,Australia,Western Australia,edge of Lake,-32.3773,118.158,, ,,,
1974,Lycium,australe,14-550,,Levin and Miller 14-550,9/14/2014,Australia,Australia,Western Australia,9km SE of Quairading,-32.0744,117.441,, ,,,
"1981, 2266",Lycium,australe,14-559,,Levin and Miller 14-559,9/15/2014,Australia,Australia,Western Australia,West of Cowcowing; terminus of Cowcowing West Road at intersection with Wyalkatchem North Road.,-30.997,117.4,, ,,,
1982,Lycium,australe,14-570,,Levin and Miller 14-570,9/15/2014,Australia,Australia,Western Australia,"Western Australia. Southwest of Cowcowing; along Wyalkatchem North Road, just south of intersection with Cowcowing West Road.",-31.0019,117.397,, ,,,
1996,Lycium,australe,14-590,,Levin and Miller 14-590,9/16/2014,Australia,Australia,Western Australia,"Along Koorda-Bullfinch Road, ca. 3km east of Warralakin and ca. 47 km west of Bullfinch. Relatively common on far edge of lake, with saltbush, eucalypts. ",-31.0174,118.632,, ,,,
1997,Lycium,australe,14-591,,Levin and Miller 14-591,9/16/2014,Australia,Australia,Western Australia,"Along Mount Jackson Road, ca. 8.5 km north-northwest of Bullfinch. ",-30.9123,119.086,, ,,,
1998,Lycium,australe,14-593,,Levin and Miller 14-593,9/16/2014,Australia,Australia,Western Australia,"Along Mount Jackson Road, ca. 13 km north-northwest of Bullfinch.",-30.8623,119.058,, ,,,
1999,Lycium,australe,14-603,,Levin and Miller 14-603,9/16/2014,Australia,Australia,Western Australia,"Along the Great Eastern Highway (Highway 94), ca. 3 km east of Yellowdine. Common at edge of lake bed with Eremophila spp., eucalypts. Flowers appear female.",-31.2905,119.689,, ,,,
2000,Lycium,australe,14-604,,Levin and Miller 14-604,9/16/2014,Australia,Australia,Western Australia,"Along the Great Eastern Highway (Highway 94), ca. 3 km east of Yellowdine. Common at edge of lake bed with Eremophila spp., eucalypts. Flowers appear male.",-31.2905,119.689,, ,,,
2001,Lycium,australe,14-612,,Levin and Miller 14-612,9/17/2014,Australia,Australia,Western Australia," Along the Great Eastern Highway (Highway 94), ca. 13 km east of Coolgardie. Fairly common with Acacia spp., Senna spp., eucalypts, and saltbush. Flowers appear female.",-30.8828,121.264,, ,,,
2002,Lycium,australe,14-614,,Levin and Miller 14-614,9/17/2014,Australia,Australia,Western Australia," Along the Great Eastern Highway (Highway 94), ca. 17 km east of Coolgardie. Fairly common with Acacia spp., Senna spp., eucalypts, and saltbush. Flowers appear male.",-30.8715,121.303,, ,,,
2003,Lycium,australe,14-616,,Levin and Miller 14-616,9/17/2014,Australia,Australia,Western Australia,"Along the Great Eastern Highway (Highway 94), ca. 18 km east of Coolgardie. Fairly common with Acacia spp., Senna spp., eucalypts, and saltbush. Flowers appear male.",-30.8698,121.307,, ,,,
2005,Lycium,australe,14-622,,Levin and Miller 14-622,9/17/2014,Australia,Australia,Western Australia,"Along Menzies-Sandstone Road, ca. 12.5 km northwest of Menzies at edge of lake. Relatively common with Grevillea spp. ",-29.6301,120.935,, ,,,
2006,Lycium,australe,14-631,,Levin and Miller 14-631,9/18/2014,Australia,Australia,Western Australia,Ca. 34 km northeast of Sandstone on road to Lake Mason Homestead. Uncommon. ,-27.7131,119.383,, ,,,
2007,Lycium,australe,14-632,,Levin and Miller 14-632,9/18/2014,Australia,Australia,Western Australia,"Along Goldfields Highway (Highway 49), at edge of Lake Miranda, ca. 37 km north of Leinster and 137 km south of Wiluna. Locally common with Salicornia spp.",-27.6997,120.543,, ,,,
2008,Lycium,australe,14-644,,Levin and Miller 14-644,9/19/2014,Australia,Australia,Western Australia,"Along Great Northern Highway (Highway 95), at southern edge of Lake Austin, ca. 29 km south of Cue. Uncommon. ",-27.6629,117.871,, ,,,
2009,Lycium,australe,14-649,,Levin and Miller 14-649,9/19/2014,Australia,Australia,Western Australia,"Along Great Northern Highway (Highway 95), at southern edge of Lake Annean, ca. 10 km south of turn-off to Nannine Cemetery and 49 km south of Meekatharra. Flowers appear male. ",-26.9344,118.257,, ,,,
2010,Lycium,australe,14-650,,Levin and Miller 14-650,9/19/2014,Australia,Australia,Western Australia,"Along Great Northern Highway (Highway 95), at southern edge of Lake Annean, ca. 10 km south of turn-off to Nannine Cemetery and 49 km south of Meekatharra. Flowers appear female, fruits present. ",-26.9344,118.257,, ,,,
2011,Lycium,australe,14-655,,Levin and Miller 14-655,9/19/2014,Australia,Australia,Western Australia,"Along Great Northern Highway (Highway 95), at edge of Lake Annean, ca. 8 km south of turn-off to Nannine Cemetery and 47 km south of Meekatharra. Flowers appear male. ",-26.9181,118.264,, ,,,
2012,Lycium,australe,14-656,,Levin and Miller 14-656,9/19/2014,Australia,Australia,Western Australia,"Along Great Northern Highway (Highway 95), northern outskirts of Mt Magnet. Locally common. ",-28.0542,117.85,, ,,,
2013,Lycium,australe,14-667,,Levin and Miller 14-667,9/21/2014,Australia,Australia,Western Australia,"Shark Bay Road (Highway 353), ca. 10 km west of turn-off to Hamelin Pool. Relatively common on old lake bed with saltbush. ",-26.4797,114.097,, ,,,
2014,Lycium ,australe,14-672,,Levin and Miller 14-672,9/21/2014,Australia ,Australia,Western Australia,"Along track to Goulet Bluff, 1 km southwest of intersection with Shark Bay Road (Highway 353). Locally common with saltbush",-26.2125,113.696,, ,,,
2015,Lycium ,australe,14-677,,Levin and Miller 14-677,9/22/2014,Australia ,Australia,Western Australia," At end of Hamelin Pool Road, around parking lot and walking trails to stromatolite viewing area. Locally common.",-26.1096,114.352,, ,,,
"2016, 2071",Lycium,australe,14-678,,Levin and Miller 14-678,9/27/2014,Australia ,Australia,Western Australia,"Along the North West Coastal Highway (Highway 1), ca. 15 km south of Wooramel Roadhouse, 61 km north of Overlander Roadhouse. Locally common with saltbush.",-25.8937,114.295,, ,,,
2017,Lycium ,australe,14-686,,Levin and Miller 14-686,9/27/2014,Australia ,Australia,Western Australia,"Along the North West Coastal Highway (Highway 1), by roadside parking area and sign for the 26th parallel; ca. 47 km north of Overlander Roadhouse. Locally common with saltbush",-26.0065,114.308,, ,,,
2722B,Lycium,australe,Hurlstone HSB1,,HSB1,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5855,119.419,, ,,,
2723B,Lycium,australe,Hurlstone HSB2,,HSB2,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5853,119.419,, ,,,
2724B,Lycium,australe,Hurlstone HSB3 ,,HSB3 ,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.5853,119.419,, ,,,
2725B,Lycium,australe,Hurlstone HSB4,,HSB4,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.5851,119.418,, ,,,
2730,Lycium,australe,Hurlstone HSB5,,HSB5,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.585,119.419,HSB5 Hurlstone, ,,,
2730B,Lycium,australe,Hurlstone HSB5,,HSB5,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.585,119.419,, ,,,
2714B,Lycium,australe,Hurlstone HSBM1,,HSBM1,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.5852,119.419,, ,,,
2715B,Lycium,australe,Hurlstone HSBM2,,HSBM2,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.5855,119.42,, ,,,
2716B,Lycium,australe,Hurlstone HSBM3,,HSBM3,9/22/2018,Australia,Australia,Western Australia,Lake Hurlstone NR,-32.5853,119.42,, ,,,
2663B,Lycium,australe,Hurlstone HSR1,,HSR1,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5854,119.42,, ,,,
2999,Lycium,australe,Hurlstone HSR1-C1,Offspring,HSR1-C1,,Australia,Australia,Western Australia,Lake Hurlstone NR,,,"Offspring from HSR1, greenhouse", ,,,
2664B,Lycium,australe,Hurlstone HSR2,,HSR2,9/22/2022,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5854,119.419,, ,,,
2665B,Lycium,australe,Hurlstone HSR3,,HSR3,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5854,119.417,, ,,,
2666B,Lycium,australe,Hurlstone HSR4,,HSR4,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5858,119.417,, ,,,
2717B,Lycium,australe,Hurlstone HSR5,,HSR5,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5853,119.417,, ,,,
2731B,Lycium,australe,Hurlstone HSRM1,,HSRM1,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5852,119.419,, ,,,
2732B,Lycium,australe,Hurlstone HSRM2,,HSRM2,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5853,119.419,, ,,,
2733B,Lycium,australe,Hurlstone HSRM3,,HSRM3,9/22/2018,Australia,Australia,Western Australia ,Lake Hurlstone NR,-32.5855,119.419,, ,,,
2454,Lycium,australe,oz-18,,oz-18,7/20/2011,Australia,Australia,South Australia ,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2455,Lycium,australe,oz-19,,oz-19,7/20/2011,Australia,Australia,South Australia ,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2456,Lycium,australe,oz-20,,oz-20,7/20/2011,Australia,Australia,South Australia ,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2457,Lycium,australe,oz-21,,oz-21,7/20/2011,Australia,Australia,South Australia ,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2458,Lycium,australe,oz-22,,oz-22,7/20/2011,Australia,Australia,South Australia ,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2459,Lycium,australe,oz-23,,oz-23,7/20/2011,Australia,Australia,South Australia ,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2460,Lycium,australe,oz-24,,oz-24,7/20/2011,Australia,Australia,South Australia,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2461,Lycium,australe,oz-25,,oz-25,7/20/2011,Australia,Australia,South Australia,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
2462,Lycium,australe,oz-26,,oz-26,7/20/2011,Australia,Australia,South Australia,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,, ,,,
"2463, 2470",Lycium,australe,oz-31,,oz-31,7/20/2011,Australia,Australia,South Australia,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355,2463* extraction did NOT work, ,,,
"2464, 2471",Lycium,australe,oz-33,,oz-33,7/20/2011,Australia,Australia,South Australia,"Roadside outside Sedan towards Blanchetown; Malee, Eucalypt roadside by Wombat Rise Sanctuary",-34.4632,139.355, 2464* extraction did NOT work, ,,,
"2465, 2472",Lycium,australe,oz-34,,oz-34,7/20/2011,Australia,Australia,South Australia,Near Brook Conservation Park; west of Blanchetown,-34.3795,139.511, 2465* extraction did NOT work, ,,,
2466,Lycium,australe,oz-35,,oz-35,7/20/2011,Australia,Australia,South Australia,Near Brook Conservation Park; west of Blanchetown,-34.3787,-34.3787,, ,,,
2727B,Lycium,australe,,,10-101,8/12/2018,Australia,Australia,Western Australia,Near intersection of Wyalkatchem North Road and Old Nalkain Road,-31.0419,117.362,, ,,,
,Lycium,australe,,,11-24 (no voucher),7/22/2011,Australia,Australia,South Australia,1.1km South of Blanchetown towards Walker Flat (E side of M. River),-34.3507,139.63,Silica, ,,,
2308,Lycium,australe,,,Balranald A,,Australia,Australia,,,,,, ,,,
2310,Lycium,australe,,,Balranald B,,Australia,Australia,,,,,, ,,,
1510,Lycium,australe,430,,Moody 1010 PERTH,9/30/2011,Australia,Australia,Western Australia,Lake McDermott,-30.7989,117.967,, ,,,
1515,Lycium,australe,431,,Moody 1010 PERTH,9/30/2011,Australia,Australia,Western Australia,Lake McDermott,-30.7992,117.968,, ,,,
1516,Lycium,australe,432,,Moody 1010 PERTH,9/30/2011,Australia,Australia,Western Australia,Lake McDermott,-30.7995,117.968,, ,,,
1509,Lycium,australe,477,,Moody 1038 PERTH,9/30/2011,Australia,Australia,Western Australia,Hurlston Reserve,-32.5861,119.429,, ,,,
1511,Lycium,australe,466,,Moody 1038 PERTH,9/30/2011,Australia,Australia,Western Australia,Hurlston Reserve,-32.5865,119.43,, ,,,
1512,Lycium,australe,468,,Moody 1038 PERTH,9/30/2011,Australia,Australia,Western Australia,Hurlston Reserve,-32.5866,119.43,, ,,,
1513,Lycium,australe,469,,Moody 1038 PERTH,9/30/2011,Australia,Australia,Western Australia,Hurlston Reserve,-32.5864,119.431,, ,,,
1514,Lycium,australe,474,,Moody 1038 PERTH,9/30/2011,Australia,Australia,Western Australia,Hurlston Reserve,-32.5865,119.432,, ,,,
1897,Lycium,australe,14-194,,None,8/30/2014,Australia,Australia,South Australia,,-30.916,135.7,"No voucher for this \population\""", ,,,
1923,Lycium,australe,14-345,,none,9/6/2014,Australia,Australia,South Australia,W of Nundroo on Eyre Hwy,-31.6911,132.125,, ,,,
1926,Lycium,australe,14-355,,none,9/7/2014,Australia,Australia,South Australia,W of Nullabor,-31.5762,130.381,, ,,,
1927,Lycium,australe,14-357,,none,9/7/2014,Australia,Australia,South Australia,,-31.577,130.146,, ,,,
1928,Lycium,australe,14-359,,none,9/7/2014,Australia,Australia,South Australia,,-31.6004,129.775,, ,,,
1933,Lycium,australe,14-376,,none,9/7/2014,Australia,Australia,Western Australia,W side of Madura Pass,-31.9119,127.331,, ,,,
1959,Lycium,australe,14-491,,none,9/8/2014,Australia,Australia,Western Australia,Just E of Norseman,-32.1643,121.797,, ,,,
1969,Lycium,australe,14-508,,none,9/13/2014,Australia,Australia,Western Australia,Just N of Pingrup towards Lake Grace,-33.4772,118.514,, ,,,
1971,Lycium,australe,14-533,,none,9/14/2014,Australia,Australia,Western Australia,~20 km W of Hyden,-32.4958,118.67,, ,,,
1973,Lycium,australe,14-548,,none,9/14/2014,Australia,Australia,Western Australia,,-32.3416,118.035,, ,,,
1983,Lycium,australe,14-572,,None,9/15/2014,Australia,Australia,Western Australia,,-31.0169,117.38,, ,,,
1984,Lycium,australe,14-574,,None,9/15/2014,Australia,Australia,Western Australia,,-31.0178,117.379,, ,,,
2004,Lycium,australe,14-620,,None,9/17/2014,Australia,Australia,Western Australia,8km north of Kalgoorlie towards Menzies,-30.6781,121.464,, ,,,
"1936, 2144",Lycium,australe,14-386,,none,9/8/2014,Australia,Australia,Western Australia,~10 km E of Fraser Station with saltbush,-32.0258,122.861,*1936 was combined with 2144 and dried down (KG), ,,,
1992,Lycium,australe,,,None,9/15/2014,Australia,Australia,Western Australia,,-31.019,117.377,14-577, ,,,
1993,Lycium,australe,,,None,9/15/2014,Australia,Australia,Western Australia,,-30.9896,117.408,14-581, ,,,
2163,Lycium,australe,offspring of 14-133,Offspring,offspring of 14-133,7/18/2016,Australia,Australia,South Australia,Yunta,-32.531,139.554,"Offspring of seed I; Amherst GH
From bulked seeds: 14-133.134.135", ,,,
2165,Lycium,australe,offspring of 14-147,Offspring,offspring of 14-147,7/18/2016,Australia,Australia,South Australia,Parachilna,-32.028,138.438,Offspring of seed C; Amherst GH, ,,,
2164,Lycium,australe,offspring of 14-204,Offspring,offspring of 14-204,7/18/2016,Australia,Australia,South Australia,Port Augusta,-32.19,137.496,"Offspring of seed A; Amherst GH
From bulked seeds: 14-204.205.214", ,,,
2168,Lycium,australe,offspring of 14-204,Offspring,offspring of 14-204,7/18/2016,Australia,Australia,South Australia,Port Augusta,-32.19,137.496,"Offspring of seed E; Amherst GH
From bulked seeds: 14-204.205.214", ,,,
2166,Lycium,australe,offspring of 14-261,Offspring,offspring of 14-261,7/18/2016,Australia,Australia,South Australia,Gawler Range,-32.658,135.698,"Offspring of seed E; Amherst GH
From bulked seeds: 14-261.266", ,,,
2226,Lycium,australe,offspring of 14-30,Offspring,offspring of 14-30,7/22/2016,Australia,Australia,New South Wales,Euston,-34.543,143.01,Seed A; Amherst GH, ,,,
2159,Lycium,australe,offspring of 14-326,Offspring,offspring of 14-326,7/18/2016,Australia,Australia,South Australia,Cactus Beach,-32.093,132.986,"Off spring of seed C; Amherst Greenhouse
From bulked seeds of: 14-326.328.330.332.334.335.337", ,,,
2160,Lycium,australe,offspring of 14-326,Offspring,offspring of 14-326,7/18/2016,Australia,Australia,South Australia,Cactus Beach,-32.093,132.986,"Offspring of seed B; Amherst Greenhouse
From bulked seeds of: 14-326.328.330.332.334.335.337", ,,,
2167,Lycium,australe,offspring of 14-326,Offspring,offspring of 14-326,7/18/2016,Australia,Australia,South Australia,Cactus Beach,-32.093,132.986,"Offspring of seed F; Amherst GH
From bulked seeds: 14-326.328.330.332.334.335.337", ,,,
2178,Lycium,australe,offspring of 14-346,Offspring,offspring of 14-346,7/19/2016,Australia,Australia,South Australia,Nundroo,-31.691,132.125,Offspring of seed C; Amherst GH, ,,,
2179,Lycium,australe,offspring of 14-367,Offspring,offspring of 14-367,7/19/2016,Australia,Australia,Western Australia,East of Madura,-31.892,127.661,Offspring of seed E; Amherst GH, ,,,
2180,Lycium,australe,offspring of 14-370,Offspring,offspring of 14-370,7/19/2016,Australia,Australia,Western Australia,Moodini bluff,-31.912,127.331,"Offspring of seed C; Amherst GH
From bulked seeds: 14-370.371.372.373", ,,,
2181,Lycium,australe,offspring of 14-370,Offspring,offspring of 14-370,7/19/2016,Australia,Australia,Western Australia,Moodini bluff,-31.912,127.331,"Offspring of seed H; Amherst GH
From bulked seeds: 14-370.371.372.373", ,,,
2182,Lycium,australe,offspring of 14-395,Offspring,offspring of 14-395,7/19/2016,Australia,Australia,Western Australia,ca. 40km East Norseman,-32.069,122.146,Offspring of seed B; Amherst GH, ,,,
2183,Lycium,australe,offspring of 14-395,Offspring,offspring of 14-395,7/19/2016,Australia,Australia,Western Australia,ca. 40km East Norseman,-32.069,122.146,Offspring of seed C; Amherst GH, ,,,
2185,Lycium,australe,offspring of 14-395,Offspring,offspring of 14-395,7/19/2016,Australia,Australia,Western Australia,ca. 40km East Norseman,-32.069,122.146,Offspring of seed E; Amherst GH, ,,,
2186,Lycium,australe,offspring of 14-395,Offspring,offspring of 14-395,7/19/2016,Australia,Australia,Western Australia,ca. 40km East Norseman,-32.069,122.146,Offspring of seed F; Amherst GH, ,,,
2161,Lycium,australe,offspring of 14-42,Offspring,offspring of 14-42,7/18/2016,Australia,Australia,New South Wales,Balranald,-34.628,143.492,"Offspring of seed C; Amherst Greenhouse
From bulked seeds: 14-42.44.47", ,,,
2187,Lycium,australe,offspring of 14-490,Offspring,offspring of 14-490,7/19/2016,Australia,Australia,Western Australia,near Norseman,-32.164,121.797,Offspring of seed C; Amherst GH, ,,,
"2196, 2270",Lycium,australe,offspring of 14-492_B,Offspring,offspring of 14-492_B,7/20/2016,Australia,Australia,Western Australia,near Norseman,-32.152,121.757,"Offspring of seed B; Amherst GH
From bulked seeds: 14-492.493.495.496", ,,,
2197,Lycium,australe,offspring of 14-504,Offspring,offspring of 14-504,7/20/2016,Australia,Australia,Western Australia,South Pingrup,-33.561,118.473,Offspring of seed B; Amherst GH, ,,,
2198,Lycium,australe,offspring of 14-517,Offspring,offspring of 14-517,7/20/2016,Australia,Australia,Western Australia,North Pingrup; South Lake Grace,-33.258,118.47,"Offspring of seed A; Amherst GH
From bulked seeds: 14-517.518", ,,,
2199,Lycium,australe,offspring of 14-517,Offspring,offspring of 14-517,7/20/2016,Australia,Australia,Western Australia,North Pingrup; South Lake Grace,-33.258,118.47,"Offspring of seed B; Amherst GH
From bulked seeds: 14-517.518", ,,,
2201,Lycium,australe,offspring of 14-517,Offspring,offspring of 14-517,7/20/2016,Australia,Australia,Western Australia,North Pingrup; South Lake Grace,-33.258,118.47,"Offspring of seed D; Amherst GH
From bulked seeds: 14-517.518
", ,,,
"2200, 2260",Lycium,australe,offspring of 14-517_C,Offspring,offspring of 14-517_C,7/20/2016,Australia,Australia,Western Australia,North Pingrup; South Lake Grace,-33.258,118.47,"Offspring of seed C; Amherst GH
From bulked seeds: 14-517.518", ,,,
2133,Lycium,australe,offspring of 14-523,Offspring,offspring of 14-523,6/22/2016,Australia,Australia,Western Australia,9km West Hyden,-32.483,118.785,"Offspring of seed C; Amherst Greenhouse
From bulked seeds of: 14-523.525.526.527", ,,,
2142,Lycium,australe,Offspring of 14-523,Offspring,Offspring of 14-523,6/28/2016,Australia,Australia,Western Australia,9km West Hyden,-32.483,118.785,"Offspring of seed A; Amherst Greenhouse
From bulked seeds of: 14-523.525.526.527", ,,,
2143,Lycium,australe,offspring of 14-523,Offspring,offspring of 14-523,6/28/2016,Australia,Australia,Western Australia,9km West Hyden,-32.483,118.785,"Offspring of seed B; Amherst Greenhouse
From bulked seeds of: 14-523.525.526.527", ,,,
2202,Lycium,australe,offspring of 14-523,Offspring,offspring of 14-523,7/20/2016,Australia,Australia,Western Australia,9km West Hyden,-32.483,118.785,"Offspring of seed E; Amherst GH
From bulked seeds: 14-523.525.526.527", ,,,
2203,Lycium,australe,offspring of 14-547,Offspring,offspring of 14-547,7/20/2016,Australia,Australia,Western Australia,"page 53, bottom",-32.342,118.035,"Offspring of seed A; Amherst GH
From bulked seeds: 14-547.549", ,,,
2204,Lycium,australe,offspring of 14-547,Offspring,offspring of 14-547,7/20/2016,Australia,Australia,Western Australia,"page 53, bottom",-32.342,118.035,"Offspring of seed C; Amherst GH
From bulked seeds: 14-547.549", ,,,
"2115, 2274",Lycium,australe,offspring of 14-550,Offspring,offspring of 14-550,6/15/2016,Australia,Australia,Western Australia,Quairading,-32.074,117.441,"Offspring of seed D; Amherst Greenhouse
From bulked seeds of: 14-550.552.553.554.555.556; mislabeled in greenhouse as 15-550
*2115, 2268, 2273, 2274 combined", ,,,
2205,Lycium,australe,offspring of 14-571,Offspring,offspring of 14-571,7/20/2016,Australia,Australia,Western Australia,"page 57, top",-31.017,117.38,"Offspring of seed A; Amherst GH
From bulked seeds: 14-571.572", ,,,
2215,Lycium,australe,offspring of 14-571,Offspring,offspring of 14-571,7/21/2016,Australia,Australia,Western Australia,"page 57, top",-31.017,117.38,"Offspring of seed D; Amherst GH
From bulked seeds: 14-571.572", ,,,
2265,Lycium,australe,offspring of 14-571_C,Offspring,offspring of 14-571_C,7/21/2016,Australia,Australia,Western Australia,"page 57, top",-31.017,117.38,"Offspring of seed C; Amherst GH
From bulked seeds: 14-571.572
= 2214, 2264, 2265 all combined", ,,,
2214,Lycium,australe,offspring of 14-571; seed C,Offspring,offspring of 14-571; seed C,9/15/2014,Australia,Australia,Western Australia,page 57 top,-31.017,117.38,"Amherst College GH, seed C", ,,,
2216,Lycium,australe,offspring of 14-574,Offspring,offspring of 14-574,7/21/2016,Australia,Australia,Western Australia,"page 57, middle",-31.018,117.379,"Seed A; Amherst GH
Bulked seeds: 14-574.575.576", ,,,
2217,Lycium,australe,offspring of 14-574,Offspring,offspring of 14-574,7/21/2016,Australia,Australia,Western Australia,"page 57, middle",-31.018,117.379,"Seed C; Amherst GH
From bulked seeds: 14-574.575.576", ,,,
2218,Lycium,australe,offspring of 14-577,Offspring,offspring of 14-577,7/21/2016,Australia,Australia,Western Australia,"page 57, bottom",-31.019,117.377,"Seed C; Amherst GH
Bulked seeds: 14-577.579", ,,,
2219,Lycium,australe,offspring of 14-577,Offspring,offspring of 14-577,7/21/2016,Australia,Australia,Western Australia,"page 57, bottom",-31.019,117.377,"Seed D; Amherst GH
Seeds bulked: 14-577.579", ,,,
2140,Lycium,australe,offspring of 14-603,Offspring,offspring of 14-603,6/28/2016,Australia,Australia,Western Australia,Yellowdine,-31.291,119.689,"Offspring of seed I; Amherst Greenhouse
From bulked seeds of: 14-603.609.606.611", ,,,
2220,Lycium,australe,offspring of 14-603,Offspring,offspring of 14-603,7/21/2016,Australia,Australia,Western Australia,Yellowdine,-31.291,119.689,"Seed G; Amherst GH
Bulked seeds: 14-603.609.606.611", ,,,
"2113, 2267",Lycium,australe,offspring of 14-603,Offspring,offspring of 14-603,6/15/2016,Australia,Australia,Western Australia,Yellowdine,-31.291,119.689,"Offspring of seed L; Amherst Greenhouse
From bulked seeds of: 14-603.609.606.611", ,,,
"2221, 2262",Lycium,australe,offspring of 14-603_H,Offspring,offspring of 14-603_H,7/21/2016,Australia,Australia,Western Australia,Yellowdine,-31.291,119.689,"Seed H; Amherst GH
Bulked seeds: 14-603.609.606.611", ,,,
"2291, 2294",Lycium,australe,offspring of 14-617,Offspring,offspring of 14-617,8/8/2016,Australia,Australia,Western Australia,Kalgoorlie-Menzies,-30.678,121.464,"Seed E; Amherst GH
Combined with: 2291, 2292, 2293, 2294", ,,,
2224,Lycium,australe,offspring of 14-633,Offspring,offspring of 14-633,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.7,120.543,Seed B; Amherst GH, ,,,
2225,Lycium,australe,offspring of 14-633,Offspring,offspring of 14-633,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.7,120.543,Seed C; Amherst GH, ,,,
2227,Lycium,australe,offspring of 14-633,Offspring,offspring of 14-633,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.7,120.543,Seed F; Amherst GH, ,,,
2114,Lycium,australe,offspring of 14-633_E,Offspring,offspring of 14-633_E,6/15/2016,Australia,Australia,Western Australia,Lake Miranda,-27.7,120.543,Offspring of seed E; Amherst Greenhouse, ,,,
"2295, 2114",Lycium,australe,offspring of 14-633_E,Offspring,offspring of 14-633_E,8/18/2016,Australia,Australia,,Lake Miranda,-27.7,120.543,Amherst College Greenhouse Seed E, ,,,
2228,Lycium,australe,offspring of 14-637,Offspring,offspring of 14-637,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.697,120.544,Seed A; Amherst GH, ,,,
2229,Lycium,australe,offspring of 14-642,Offspring,offspring of 14-642,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.678,120.547,Seed B; Amherst GH, ,,,
2230,Lycium,australe,offspring of 14-642,Offspring,offspring of 14-642,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.678,120.547,Seed C; Amherst GH, ,,,
2231,Lycium,australe,offspring of 14-642,Offspring,offspring of 14-642,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.678,120.547,Seed D; Amherst GH, ,,,
2232,Lycium,australe,offspring of 14-642,Offspring,offspring of 14-642,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.678,120.547,Seed E; Amherst GH, ,,,
2233,Lycium,australe,offspring of 14-642,Offspring,offspring of 14-642,7/22/2016,Australia,Australia,Western Australia,Lake Miranda,-27.678,120.547,Seed F; Amherst GH, ,,,
2234,Lycium,australe,offspring of 14-645,Offspring,offspring of 14-645,7/22/2016,Australia,Australia,Western Australia,Lake Austin,-27.59,117.899,Seed A; Amherst GH, ,,,
